,sentence,typicality,rating,subject/object
103,The champion held the cup.,T,6.4,"['champion', 'hold', 'cup']"
104,The chauffeur carried the rifle.,AT,2.1,"['chauffeur', 'carry', 'rifle']"
105,The chauffeur carried the passenger.,T,6.65,"['chauffeur', 'carry', 'passenger']"
106,The cheerleader carried the rifle.,AT,2.2,"['cheerleader', 'carry', 'rifle']"
107,The cheerleader carried the flag.,T,5.2,"['cheerleader', 'carry', 'flag']"
108,The cheerleader performed the spell.,AT,1.65,"['cheerleader', 'perform', 'spell']"
109,The cheerleader performed the dance.,T,5.75,"['cheerleader', 'perform', 'dance']"
110,The cheerleader shook the drink.,AT,2.75,"['cheerleader', 'shake', 'drink']"
111,The cheerleader shook the flag.,T,5.15,"['cheerleader', 'shake', 'flag']"
112,The chemist mixed the music.,AT,1.35,"['chemist', 'mix', 'music']"
113,The chemist mixed the substance.,T,6.85,"['chemist', 'mix', 'substance']"
114,The chemist poured the juice.,AT,2.75,"['chemist', 'pour', 'juice']"
115,The chemist poured the compound.,T,6.25,"['chemist', 'pour', 'compound']"
116,The chemist sold the dog.,AT,1.9,"['chemist', 'sell', 'dog']"
117,The chemist sold the drug.,T,4.45,"['chemist', 'sell', 'drug']"
118,The child ate the bone.,AT,2.85,"['child', 'eat', 'bone']"
119,The child ate the candy.,T,6.35,"['child', 'eat', 'candy']"
120,The child built the sculpture.,AT,3.95,"['child', 'build', 'sculpture']"
121,The child built the snowman.,T,6.15,"['child', 'build', 'snowman']"
122,The child celebrated the victory.,AT,5.05,"['child', 'celebrate', 'victory']"
123,The child celebrated the birthday.,T,6.45,"['child', 'celebrate', 'birthday']"
124,The child chased the thief.,AT,2.05,"['child', 'chase', 'thief']"
125,The child chased the toy.,T,6.1,"['child', 'chase', 'toy']"
126,The child climbed the mountain.,AT,3.2,"['child', 'climb', 'mountain']"
127,The child climbed the tree.,T,5.2,"['child', 'climb', 'tree']"
128,The child crossed the river.,AT,3.5,"['child', 'cross', 'river']"
129,The child crossed the park.,T,5.55,"['child', 'cross', 'park']"
130,The child cut the tree.,AT,1.75,"['child', 'cut', 'tree']"
131,The child cut the paper.,T,5.35,"['child', 'cut', 'paper']"
132,The child drank the beer.,AT,2.0,"['child', 'drink', 'beer']"
133,The child drank the coke.,T,4.65,"['child', 'drink', 'coke']"
134,The child drew the horse.,AT,5.65,"['child', 'draw', 'horse']"
135,The child drew the flower.,T,4.95,"['child', 'draw', 'flower']"
136,The child enjoyed the lecture.,AT,2.85,"['child', 'enjoy', 'lecture']"
137,The child enjoyed the ride.,T,6.7,"['child', 'enjoy', 'ride']"
138,The child found the corpse.,AT,1.45,"['child', 'find', 'corpse']"
139,The child found the doll.,T,5.65,"['child', 'find', 'doll']"
140,The child grabbed the tyre.,AT,2.3,"['child', 'grab', 'tyre']"
141,The child grabbed the frisbee.,T,4.95,"['child', 'grab', 'frisbee']"
142,The child lent the car.,AT,1.45,"['child', 'lend', 'car']"
143,The child lent the pen.,T,4.45,"['child', 'lend', 'pen']"
144,The child opened the congress.,AT,1.5,"['child', 'open', 'congress']"
145,The child opened the present.,T,6.7,"['child', 'open', 'present']"
146,The child picked the investment.,AT,1.65,"['child', 'pick', 'investment']"
147,The child picked the flower.,T,5.4,"['child', 'pick', 'flower']"
148,The child rode the bull.,AT,2.0,"['child', 'ride', 'bull']"
149,The child rode the bus.,T,5.3,"['child', 'ride', 'bus']"
150,The child threw the bottle.,AT,4.2,"['child', 'throw', 'bottle']"
151,The child threw the ball.,T,6.35,"['child', 'throw', 'ball']"
152,The child threw the spear.,AT,1.6,"['child', 'throw', 'spear']"
153,The child threw the snowball.,T,5.95,"['child', 'throw', 'snowball']"
154,The child told the verdict.,AT,2.05,"['child', 'tell', 'verdict']"
155,The child told the lie.,T,5.95,"['child', 'tell', 'lie']"
156,The child visited the president.,AT,3.05,"['child', 'visit', 'president']"
157,The child visited the grandmother.,T,5.95,"['child', 'visit', 'grandmother']"
158,The child visited the prisoner.,AT,2.0,"['child', 'visit', 'prisoner']"
159,The child visited the zoo.,T,6.3,"['child', 'visit', 'zoo']"
160,The child wrote the diagnosis.,AT,1.05,"['child', 'write', 'diagnosis']"
161,The child wrote the conjugation.,T,3.95,"['child', 'write', 'conjugation']"
162,The climber climbed the staircase.,AT,5.6,"['climber', 'climb', 'staircase']"
163,The climber climbed the rock.,T,6.8,"['climber', 'climb', 'rock']"
164,The climber faced the ocean.,AT,2.35,"['climber', 'face', 'ocean']"
165,The climber faced the wall.,T,5.5,"['climber', 'face', 'wall']"
166,The climber used the blackboard.,AT,1.8,"['climber', 'use', 'blackboard']"
167,The climber used the rope.,T,6.85,"['climber', 'use', 'rope']"
168,The coach checked the car.,AT,2.45,"['coach', 'check', 'car']"
169,The coach checked the team.,T,6.95,"['coach', 'check', 'team']"
170,The cobbler fixed the phone.,AT,1.55,"['cobbler', 'fix', 'phone']"
171,The cobbler fixed the shoe.,T,6.25,"['cobbler', 'fix', 'shoe']"
172,The cobbler sewed the parachute.,AT,1.6,"['cobbler', 'sew', 'parachute']"
173,The cobbler sewed the shoe.,T,6.6,"['cobbler', 'sew', 'shoe']"
174,The collector donated the blood.,AT,3.4,"['collector', 'donate', 'blood']"
175,The collector donated the painting.,T,3.7,"['collector', 'donate', 'painting']"
176,The comedian entertained the soldier.,AT,4.3,"['comedian', 'entertain', 'soldier']"
177,The comedian entertained the audience.,T,6.35,"['comedian', 'entertain', 'audience']"
178,The confectioner decorated the tree.,AT,2.9,"['confectioner', 'decorate', 'tree']"
179,The confectioner decorated the cake.,T,6.05,"['confectioner', 'decorate', 'cake']"
180,The confectioner spread the cement.,AT,1.2,"['confectioner', 'spread', 'cement']"
181,The confectioner spread the icing.,T,6.35,"['confectioner', 'spread', 'icing']"
182,The cook bought the ticket.,AT,3.0,"['cook', 'buy', 'ticket']"
183,The cook bought the food.,T,5.1,"['cook', 'buy', 'food']"
184,The cook checked the tire.,AT,1.9,"['cook', 'check', 'tire']"
185,The cook checked the groceries.,T,6.2,"['cook', 'check', 'groceries']"
186,The cook cleaned the window.,AT,2.3,"['cook', 'clean', 'window']"
187,The cook cleaned the fish.,T,6.1,"['cook', 'clean', 'fish']"
188,The cook cut the grass.,AT,3.35,"['cook', 'cut', 'grass']"
189,The cook cut the fish.,T,5.75,"['cook', 'cut', 'fish']"
190,The cook flipped the hair.,AT,2.5,"['cook', 'flip', 'hair']"
191,The cook flipped the pancake.,T,6.3,"['cook', 'flip', 'pancake']"
192,The cook mixed the paint.,AT,1.9,"['cook', 'mix', 'paint']"
193,The cook mixed the ingredient.,T,6.15,"['cook', 'mix', 'ingredient']"
194,The cowboy enjoyed the snack.,AT,4.8,"['cowboy', 'enjoy', 'snack']"
195,The cowboy enjoyed the ride.,T,5.6,"['cowboy', 'enjoy', 'ride']"
196,The cowboy rode the bike.,AT,3.25,"['cowboy', 'ride', 'bike']"
197,The cowboy rode the bull.,T,5.7,"['cowboy', 'ride', 'bull']"
198,The crew loaded the stroller.,AT,3.4,"['crew', 'load', 'stroller']"
199,The crew loaded the container.,T,5.2,"['crew', 'load', 'container']"
200,The customer read the music.,AT,2.6,"['customer', 'read', 'music']"
201,The customer read the menu.,T,5.45,"['customer', 'read', 'menu']"
202,The cyclist completed the project.,AT,2.7,"['cyclist', 'complete', 'project']"
203,The cyclist completed the race.,T,6.25,"['cyclist', 'complete', 'race']"
204,The cyclist fixed the hair.,AT,2.5,"['cyclist', 'fix', 'hair']"
205,The cyclist fixed the bike.,T,6.1,"['cyclist', 'fix', 'bike']"
206,The cyclist rode the skates.,AT,2.1,"['cyclist', 'ride', 'skates']"
207,The cyclist rode the bike.,T,6.5,"['cyclist', 'ride', 'bike']"
208,The dealer checked the net.,AT,2.95,"['dealer', 'check', 'net']"
209,The dealer checked the car.,T,5.9,"['dealer', 'check', 'car']"
210,The dealer examined the plant.,AT,2.35,"['dealer', 'examine', 'plant']"
211,The dealer examined the car.,T,6.4,"['dealer', 'examine', 'car']"
212,The dealer sold the meat.,AT,3.9,"['dealer', 'sell', 'meat']"
213,The dealer sold the car.,T,6.7,"['dealer', 'sell', 'car']"
214,The deejay mixed the ingredient.,AT,2.1,"['deejay', 'mix', 'ingredient']"
215,The deejay mixed the music.,T,6.65,"['deejay', 'mix', 'music']"
216,The demonstrator carried the ball.,AT,3.45,"['demonstrator', 'carry', 'ball']"
217,The demonstrator carried the flag.,T,5.85,"['demonstrator', 'carry', 'flag']"
218,The demonstrator signed the shirt.,AT,2.1,"['demonstrator', 'sign', 'shirt']"
219,The demonstrator signed the petition.,T,5.25,"['demonstrator', 'sign', 'petition']"
220,The demonstrator threw the frisbee.,AT,2.05,"['demonstrator', 'throw', 'frisbee']"
221,The demonstrator threw the stone.,T,3.5,"['demonstrator', 'throw', 'stone']"
222,The diplomat carried the dog.,AT,3.0,"['diplomat', 'carry', 'dog']"
223,The diplomat carried the message.,T,5.65,"['diplomat', 'carry', 'message']"
224,The doctor helped the cook.,AT,2.05,"['doctor', 'help', 'cook']"
225,The doctor helped the woman.,T,6.1,"['doctor', 'help', 'woman']"
226,The doctor offered the breakfast.,AT,2.15,"['doctor', 'offer', 'breakfast']"
227,The doctor offered the support.,T,6.0,"['doctor', 'offer', 'support']"
228,The doctor sewed the shoe.,AT,1.6,"['doctor', 'sew', 'shoe']"
229,The doctor sewed the wound.,T,5.65,"['doctor', 'sew', 'wound']"
230,The doctor used the shovel.,AT,2.9,"['doctor', 'use', 'shovel']"
231,The doctor used the stethoscope.,T,5.85,"['doctor', 'use', 'stethoscope']"
232,The doctor visited the museum.,AT,2.95,"['doctor', 'visit', 'museum']"
233,The doctor visited the patient.,T,6.05,"['doctor', 'visit', 'patient']"
234,The doctor wrote the conjugation.,AT,3.05,"['doctor', 'write', 'conjugation']"
235,The doctor wrote the diagnosis.,T,6.8,"['doctor', 'write', 'diagnosis']"
236,The dog ate the plant.,AT,4.3,"['dog', 'eat', 'plant']"
237,The dog ate the bone.,T,6.25,"['dog', 'eat', 'bone']"
238,The dog carried the flag.,AT,1.45,"['dog', 'carry', 'flag']"
239,The dog carried the ball.,T,6.0,"['dog', 'carry', 'ball']"
240,The dog caught the wave.,AT,2.35,"['dog', 'catch', 'wave']"
241,The dog caught the ball.,T,5.65,"['dog', 'catch', 'ball']"
242,The dog chased the tank.,AT,2.25,"['dog', 'chase', 'tank']"
243,The dog chased the ball.,T,6.5,"['dog', 'chase', 'ball']"
244,The dog dug the grave.,AT,2.6,"['dog', 'dig', 'grave']"
245,The dog dug the hole.,T,6.5,"['dog', 'dig', 'hole']"
246,The dog fetched the tray.,AT,3.2,"['dog', 'fetch', 'tray']"
247,The dog fetched the ball.,T,5.5,"['dog', 'fetch', 'ball']"
248,The dog pulled the trigger.,AT,2.8,"['dog', 'pull', 'trigger']"
249,The dog pulled the sled.,T,5.05,"['dog', 'pull', 'sled']"
250,The driver heard the baby.,AT,3.25,"['driver', 'hear', 'baby']"
251,The driver heard the horn.,T,5.75,"['driver', 'hear', 'horn']"
252,The electrician checked the rifle.,AT,1.9,"['electrician', 'check', 'rifle']"
253,The electrician checked the device.,T,5.35,"['electrician', 'check', 'device']"
254,The employee passed the rifle.,AT,1.8,"['employee', 'pass', 'rifle']"
255,The employee passed the report.,T,5.4,"['employee', 'pass', 'report']"
256,The employer offered the candy.,AT,2.85,"['employer', 'offer', 'candy']"
257,The employer offered the job.,T,6.65,"['employer', 'offer', 'job']"
258,The engineer completed the painting.,AT,1.85,"['engineer', 'complete', 'painting']"
259,The engineer completed the project.,T,6.25,"['engineer', 'complete', 'project']"
260,The engineer drew the flower.,AT,2.1,"['engineer', 'draw', 'flower']"
261,The engineer drew the turbine.,T,5.4,"['engineer', 'draw', 'turbine']"
262,The farmer picked the killer.,AT,1.55,"['farmer', 'pick', 'killer']"
263,The farmer picked the vegetable.,T,5.8,"['farmer', 'pick', 'vegetable']"
264,The farmer plowed the sand.,AT,4.1,"['farmer', 'plow', 'sand']"
265,The farmer plowed the field.,T,6.8,"['farmer', 'plow', 'field']"
266,The farmer sold the drug.,AT,1.45,"['farmer', 'sell', 'drug']"
267,The farmer sold the corn.,T,6.25,"['farmer', 'sell', 'corn']"
268,The farmer sprayed the cream.,AT,2.15,"['farmer', 'spray', 'cream']"
269,The farmer sprayed the pesticide.,T,6.7,"['farmer', 'spray', 'pesticide']"
270,The farmer used the computer.,AT,2.55,"['farmer', 'use', 'computer']"
271,The farmer used the shovel.,T,5.95,"['farmer', 'use', 'shovel']"
272,The fighter kicked the television.,AT,2.6,"['fighter', 'kick', 'television']"
273,The fighter kicked the opponent.,T,5.55,"['fighter', 'kick', 'opponent']"
274,The firefighter fought the crime.,AT,2.05,"['firefighter', 'fight', 'crime']"
275,The firefighter fought the fire.,T,7.0,"['firefighter', 'fight', 'fire']"
276,The fisherman caught the ball.,AT,2.2,"['fisherman', 'catch', 'ball']"
277,The fisherman caught the fish.,T,6.45,"['fisherman', 'catch', 'fish']"
278,The fisherman checked the car.,AT,1.75,"['fisherman', 'check', 'car']"
279,The fisherman checked the net.,T,6.15,"['fisherman', 'check', 'net']"
280,The fisherman sold the drug.,AT,1.55,"['fisherman', 'sell', 'drug']"
281,The fisherman sold the fish.,T,6.45,"['fisherman', 'sell', 'fish']"
282,The florist sold the bike.,AT,1.4,"['florist', 'sell', 'bike']"
283,The florist sold the flower.,T,6.15,"['florist', 'sell', 'flower']"
284,The footballer chased the toy.,AT,2.7,"['footballer', 'chase', 'toy']"
285,The footballer chased the ball.,T,5.75,"['footballer', 'chase', 'ball']"
286,The footballer delivered the lecture.,AT,3.2,"['footballer', 'deliver', 'lecture']"
287,The footballer delivered the kick.,T,5.9,"['footballer', 'deliver', 'kick']"
288,The footballer hit the car.,AT,2.3,"['footballer', 'hit', 'car']"
289,The footballer hit the ball.,T,6.05,"['footballer', 'hit', 'ball']"
290,The footballer kicked the vase.,AT,1.35,"['footballer', 'kick', 'vase']"
291,The footballer kicked the ball.,T,6.6,"['footballer', 'kick', 'ball']"
292,The footballer passed the knife.,AT,1.55,"['footballer', 'pass', 'knife']"
293,The footballer passed the ball.,T,6.75,"['footballer', 'pass', 'ball']"
294,The gardener cut the fish.,AT,1.45,"['gardener', 'cut', 'fish']"
295,The gardener cut the grass.,T,6.5,"['gardener', 'cut', 'grass']"
296,The gardener decorated the book.,AT,2.05,"['gardener', 'decorate', 'book']"
297,The gardener decorated the garden.,T,6.3,"['gardener', 'decorate', 'garden']"
298,The gardener gathered the flag.,AT,1.9,"['gardener', 'gather', 'flag']"
299,The gardener gathered the grass.,T,5.65,"['gardener', 'gather', 'grass']"
300,The gardener pushed the demonstrator.,AT,2.6,"['gardener', 'push', 'demonstrator']"
301,The gardener pushed the mower.,T,5.65,"['gardener', 'push', 'mower']"
302,The general gathered the bread.,AT,1.85,"['general', 'gather', 'bread']"
303,The general gathered the soldier.,T,5.9,"['general', 'gather', 'soldier']"
304,The general sent the postcard.,AT,3.2,"['general', 'send', 'postcard']"
305,The general sent the soldier.,T,6.8,"['general', 'send', 'soldier']"
306,The general won the toy.,AT,1.55,"['general', 'win', 'toy']"
307,The general won the battle.,T,6.1,"['general', 'win', 'battle']"
308,The goalkeeper caught the fish.,AT,1.65,"['goalkeeper', 'catch', 'fish']"
309,The goalkeeper caught the ball.,T,6.0,"['goalkeeper', 'catch', 'ball']"
310,The goalkeeper grabbed the phone.,AT,2.65,"['goalkeeper', 'grab', 'phone']"
311,The goalkeeper grabbed the ball.,T,5.6,"['goalkeeper', 'grab', 'ball']"
312,The goalkeeper held the child.,AT,2.7,"['goalkeeper', 'hold', 'child']"
313,The goalkeeper held the ball.,T,6.7,"['goalkeeper', 'hold', 'ball']"
314,The goalkeeper threw the bomb.,AT,1.05,"['goalkeeper', 'throw', 'bomb']"
315,The goalkeeper threw the ball.,T,6.15,"['goalkeeper', 'throw', 'ball']"
316,The government offered the drink.,AT,1.5,"['government', 'offer', 'drink']"
317,The government offered the protection.,T,5.7,"['government', 'offer', 'protection']"
318,The grandfather told the strategy.,AT,4.15,"['grandfather', 'tell', 'strategy']"
319,The grandfather told the story.,T,6.55,"['grandfather', 'tell', 'story']"
320,The guard opened the present.,AT,2.05,"['guard', 'open', 'present']"
321,The guard opened the jail.,T,6.5,"['guard', 'open', 'jail']"
322,The guard tied the roast.,AT,2.5,"['guard', 'tie', 'roast']"
323,The guard tied the prisoner.,T,4.8,"['guard', 'tie', 'prisoner']"
324,The guest held the camera.,AT,3.55,"['guest', 'hold', 'camera']"
325,The guest held the drink.,T,5.3,"['guest', 'hold', 'drink']"
326,The guest hung the laundry.,AT,3.9,"['guest', 'hang', 'laundry']"
327,The guest hung the coat.,T,5.2,"['guest', 'hang', 'coat']"
328,The guide described the software.,AT,3.8,"['guide', 'describe', 'software']"
329,The guide described the monument.,T,5.9,"['guide', 'describe', 'monument']"
330,The hairstylist fixed the bike.,AT,1.25,"['hairstylist', 'fix', 'bike']"
331,The hairstylist fixed the hair.,T,6.85,"['hairstylist', 'fix', 'hair']"
332,The hairstylist flipped the board.,AT,1.9,"['hairstylist', 'flip', 'board']"
333,The hairstylist flipped the hair.,T,6.35,"['hairstylist', 'flip', 'hair']"
334,The hairstylist sprayed the pesticide.,AT,1.25,"['hairstylist', 'spray', 'pesticide']"
335,The hairstylist sprayed the foam.,T,5.95,"['hairstylist', 'spray', 'foam']"
336,The hairstylist washed the infant.,AT,2.85,"['hairstylist', 'wash', 'infant']"
337,The hairstylist washed the hair.,T,6.15,"['hairstylist', 'wash', 'hair']"
338,The hiker faced the camera.,AT,3.95,"['hiker', 'face', 'camera']"
339,The hiker faced the mountain.,T,6.15,"['hiker', 'face', 'mountain']"
340,The horse drew the trailer.,AT,2.7,"['horse', 'draw', 'trailer']"
341,The horse drew the carriage.,T,4.05,"['horse', 'draw', 'carriage']"
342,The horse moved the suitcase.,AT,1.4,"['horse', 'move', 'suitcase']"
343,The horse moved the cart.,T,4.3,"['horse', 'move', 'cart']"
344,The horse pulled the suitcase.,AT,1.55,"['horse', 'pull', 'suitcase']"
345,The horse pulled the cart.,T,4.95,"['horse', 'pull', 'cart']"
346,The hostess explained the poem.,AT,1.75,"['hostess', 'explain', 'poem']"
347,The hostess explained the procedure.,T,4.1,"['hostess', 'explain', 'procedure']"
348,The hound fetched the money.,AT,2.85,"['hound', 'fetch', 'money']"
349,The hound fetched the bird.,T,5.05,"['hound', 'fetch', 'bird']"
350,The housemaid cleaned the fish.,AT,3.9,"['housemaid', 'clean', 'fish']"
351,The housemaid cleaned the dish.,T,5.7,"['housemaid', 'clean', 'dish']"
352,The housemaid cleaned the street.,AT,2.9,"['housemaid', 'clean', 'street']"
353,The housemaid cleaned the window.,T,6.65,"['housemaid', 'clean', 'window']"
354,The housemaid mopped the barracks.,AT,3.2,"['housemaid', 'mop', 'barracks']"
355,The housemaid mopped the floor.,T,6.7,"['housemaid', 'mop', 'floor']"
356,The housemaid washed the boat.,AT,4.0,"['housemaid', 'wash', 'boat']"
357,The housemaid washed the floor.,T,6.8,"['housemaid', 'wash', 'floor']"
358,The housewife cleaned the shoe.,AT,5.45,"['housewife', 'clean', 'shoe']"
359,The housewife cleaned the table.,T,6.3,"['housewife', 'clean', 'table']"
360,The illusionist performed the surgery.,AT,1.5,"['illusionist', 'perform', 'surgery']"
361,The illusionist performed the trick.,T,5.05,"['illusionist', 'perform', 'trick']"
362,The illustrator decorated the garden.,AT,3.0,"['illustrator', 'decorate', 'garden']"
363,The illustrator decorated the book.,T,6.3,"['illustrator', 'decorate', 'book']"
364,The illustrator drew the carriage.,AT,5.15,"['illustrator', 'draw', 'carriage']"
365,The illustrator drew the picture.,T,6.3,"['illustrator', 'draw', 'picture']"
366,The investor rented the bicycle.,AT,2.35,"['investor', 'rent', 'bicycle']"
367,The investor rented the land.,T,4.05,"['investor', 'rent', 'land']"
368,The jockey rode the wave.,AT,1.6,"['jockey', 'ride', 'wave']"
369,The jockey rode the horse.,T,6.2,"['jockey', 'ride', 'horse']"
