ID	item	cosine_similarity(filler,prototype)
34	burial@N@NSUBJ arrange@V@ROOT mortician@N@OBL	0.41852100629619005
35	mortician@N@NSUBJ arrange@V@ROOT burial@N@OBL	0.5256408113559303
36	supervisor@N@NSUBJ supply@V@ROOT liquor@N@OBJ	0.40150413795015394
37	liquor@N@NSUBJ supply@V@ROOT supervisor@N@OBJ	0.40811068302826325
38	liquor@N@NSUBJ supply@V@ROOT supervisor@N@OBL	0.5581515990535261
39	supervisor@N@NSUBJ supply@V@ROOT liquor@N@OBL	0.3878849695196458
40	overseer@N@NSUBJ provide@V@ROOT alcohol@N@OBJ	0.3865770371239069
41	alcohol@N@NSUBJ provide@V@ROOT overseer@N@OBJ	0.4242624486487958
42	alcohol@N@NSUBJ provide@V@ROOT overseer@N@OBL	0.38162523720326447
43	overseer@N@NSUBJ provide@V@ROOT alcohol@N@OBL	0.449735694521304
44	troublemaker@N@NSUBJ crash@V@ROOT car@N@OBJ	0.6546712368987784
45	car@N@NSUBJ crash@V@ROOT troublemaker@N@OBJ	0.26952417021722974
46	car@N@NSUBJ crash@V@ROOT troublemaker@N@OBL	0.3321316623544812
47	troublemaker@N@NSUBJ crash@V@ROOT car@N@OBL	0.5726860767613208
48	hooligan@N@NSUBJ wreck@V@ROOT vehicle@N@OBJ	0.6468492659479789
49	vehicle@N@NSUBJ wreck@V@ROOT hooligan@N@OBJ	0.383622345884977
50	vehicle@N@NSUBJ wreck@V@ROOT hooligan@N@OBL	0.2164477353032368
51	hooligan@N@NSUBJ wreck@V@ROOT vehicle@N@OBL	0.4539249549315201
52	repairman@N@NSUBJ fix@V@ROOT tap@N@OBJ	0.5319659864110304
53	tap@N@NSUBJ fix@V@ROOT repairman@N@OBJ	0.4432321822291354
54	tap@N@NSUBJ fix@V@ROOT repairman@N@OBL	0.44636017359103985
55	repairman@N@NSUBJ fix@V@ROOT tap@N@OBL	0.41818419423320885
56	handyman@N@NSUBJ repair@V@ROOT faucet@N@OBJ	0.48894491971132203
57	faucet@N@NSUBJ repair@V@ROOT handyman@N@OBJ	0.30615096696217436
58	faucet@N@NSUBJ repair@V@ROOT handyman@N@OBL	0.6390694149348033
59	handyman@N@NSUBJ repair@V@ROOT faucet@N@OBL	0.4886977398087162
60	secretary@N@NSUBJ organize@V@ROOT desk@N@OBJ	0.2846516124416607
61	desk@N@NSUBJ organize@V@ROOT secretary@N@OBJ	0.5137741336633563
62	desk@N@NSUBJ organize@V@ROOT secretary@N@OBL	0.46379140707433364
63	secretary@N@NSUBJ organize@V@ROOT desk@N@OBL	0.43161599395555905
64	receptionist@N@NSUBJ tidy@V@ROOT table@N@OBJ	0.5808792795195205
65	table@N@NSUBJ tidy@V@ROOT receptionist@N@OBJ	0.3890152482604169
66	table@N@NSUBJ tidy@V@ROOT receptionist@N@OBL	0.4880730113370553
67	receptionist@N@NSUBJ tidy@V@ROOT table@N@OBL	0.5331490985948719
68	pilot@N@NSUBJ steer@V@ROOT airplane@N@OBJ	0.7520598197228335
69	airplane@N@NSUBJ steer@V@ROOT pilot@N@OBJ	0.6053635945697455
70	airplane@N@NSUBJ steer@V@ROOT pilot@N@OBL	0.719638934033911
71	pilot@N@NSUBJ steer@V@ROOT airplane@N@OBL	0.5346918143357914
72	aviator@N@NSUBJ maneuver@V@ROOT jet@N@OBJ	0.7492066589497061
73	jet@N@NSUBJ maneuver@V@ROOT aviator@N@OBJ	0.5179459262100515
74	jet@N@NSUBJ maneuver@V@ROOT aviator@N@OBL	0.22829795614429915
75	aviator@N@NSUBJ maneuver@V@ROOT jet@N@OBL	0.42610244330329694
76	chef@N@NSUBJ saute@V@ROOT squid@N@OBJ	0.5616294287549017
77	squid@N@NSUBJ saute@V@ROOT chef@N@OBJ	0.4322317079686321
78	squid@N@NSUBJ saute@V@ROOT chef@N@OBL	0.25306535192059076
79	chef@N@NSUBJ saute@V@ROOT squid@N@OBL	0.36942925260827353
80	cook@N@NSUBJ grill@V@ROOT octopus@N@OBJ	0.5529917257381992
81	octopus@N@NSUBJ grill@V@ROOT cook@N@OBJ	0.5543020574000334
82	octopus@N@NSUBJ grill@V@ROOT cook@N@OBL	0.45227925723297924
83	cook@N@NSUBJ grill@V@ROOT octopus@N@OBL	0.45287591511727054
84	captain@N@NSUBJ promise@V@ROOT triumph@N@OBJ	0.6000792525216061
85	triumph@N@NSUBJ promise@V@ROOT captain@N@OBJ	0.5090396962583903
86	triumph@N@NSUBJ promise@V@ROOT captain@N@OBL	0.47492553915064495
87	captain@N@NSUBJ promise@V@ROOT triumph@N@OBL	0.31555675018990104
88	skipper@N@NSUBJ guarantee@V@ROOT victory@N@OBJ	0.3964718505399787
89	victory@N@NSUBJ guarantee@V@ROOT skipper@N@OBJ	0.4332056097432053
90	victory@N@NSUBJ guarantee@V@ROOT skipper@N@OBL	0.42647970370946475
91	skipper@N@NSUBJ guarantee@V@ROOT victory@N@OBL	0.2790764717307499
92	milliner@N@NSUBJ adorn@V@ROOT fedora@N@OBJ	0.4937211374521949
93	fedora@N@NSUBJ adorn@V@ROOT milliner@N@OBJ	0.4396878814172941
94	fedora@N@NSUBJ adorn@V@ROOT milliner@N@OBL	0.41865176902475687
95	milliner@N@NSUBJ adorn@V@ROOT fedora@N@OBL	0.45401045176953647
96	hatter@N@NSUBJ decorate@V@ROOT bowler@N@OBJ	0.5111578399544209
97	bowler@N@NSUBJ decorate@V@ROOT hatter@N@OBJ	0.4736577902977943
98	bowler@N@NSUBJ decorate@V@ROOT hatter@N@OBL	0.2897557369529775
99	hatter@N@NSUBJ decorate@V@ROOT bowler@N@OBL	0.4835685842842099
100	serviceman@N@NSUBJ hoist@V@ROOT flag@N@OBJ	0.5868486430813102
101	flag@N@NSUBJ hoist@V@ROOT serviceman@N@OBJ	0.45984200547370524
102	flag@N@NSUBJ hoist@V@ROOT serviceman@N@OBL	0.5566685682428901
103	serviceman@N@NSUBJ hoist@V@ROOT flag@N@OBL	0.5425318875572289
104	soldier@N@NSUBJ raise@V@ROOT banner@N@OBJ	0.5531227122993752
105	banner@N@NSUBJ raise@V@ROOT soldier@N@OBJ	0.37504144108392967
106	banner@N@NSUBJ raise@V@ROOT soldier@N@OBL	0.4803712158721112
107	soldier@N@NSUBJ raise@V@ROOT banner@N@OBL	0.4065357340771225
108	agent@N@NSUBJ fail@V@ROOT mission@N@OBJ	0.2982612722194742
109	mission@N@NSUBJ fail@V@ROOT agent@N@OBJ	0.3979735322571287
110	mission@N@NSUBJ fail@V@ROOT agent@N@OBL	0.35237556184581487
111	agent@N@NSUBJ fail@V@ROOT mission@N@OBL	0.3888340102927399
112	operative@N@NSUBJ blow@V@ROOT assignment@N@OBJ	0.31265231075867117
113	assignment@N@NSUBJ blow@V@ROOT operative@N@OBJ	0.43897601265573516
114	assignment@N@NSUBJ blow@V@ROOT operative@N@OBL	0.48367055969909445
115	operative@N@NSUBJ blow@V@ROOT assignment@N@OBL	0.3754971744501009
116	anchorman@N@NSUBJ garble@V@ROOT expression@N@OBJ	0.5905086957646977
117	expression@N@NSUBJ garble@V@ROOT anchorman@N@OBJ	0.29892354490214723
118	expression@N@NSUBJ garble@V@ROOT anchorman@N@OBL	0.24827740242517204
119	anchorman@N@NSUBJ garble@V@ROOT expression@N@OBL	0.5634238117656157
120	announcer@N@NSUBJ mispronounce@V@ROOT word@N@OBJ	0.7208919305107439
121	word@N@NSUBJ mispronounce@V@ROOT announcer@N@OBJ	0.3677614127764026
122	word@N@NSUBJ mispronounce@V@ROOT announcer@N@OBL	0.6417625572380972
123	announcer@N@NSUBJ mispronounce@V@ROOT word@N@OBL	0.4219858821145157
124	author@N@NSUBJ finish@V@ROOT novel@N@OBJ	0.8508291726041611
125	novel@N@NSUBJ finish@V@ROOT author@N@OBJ	0.5519630445556132
126	novel@N@NSUBJ finish@V@ROOT author@N@OBL	0.49840495313116506
127	author@N@NSUBJ finish@V@ROOT novel@N@OBL	0.07801782958733883
128	writer@N@NSUBJ complete@V@ROOT book@N@OBJ	0.6617506863123974
129	book@N@NSUBJ complete@V@ROOT writer@N@OBJ	0.44685997488118745
130	book@N@NSUBJ complete@V@ROOT writer@N@OBL	0.5980446072611327
131	writer@N@NSUBJ complete@V@ROOT book@N@OBL	0.5818900369578706
132	financier@N@NSUBJ sponsor@V@ROOT project@N@OBJ	0.5083231850886158
133	project@N@NSUBJ sponsor@V@ROOT financier@N@OBJ	0.41319774081440874
134	project@N@NSUBJ sponsor@V@ROOT financier@N@OBL	0.4249043420276236
135	financier@N@NSUBJ sponsor@V@ROOT project@N@OBL	0.5892560412100384
136	banker@N@NSUBJ fund@V@ROOT program@N@OBJ	0.5838855726724492
137	program@N@NSUBJ fund@V@ROOT banker@N@OBJ	0.45112160263456036
138	program@N@NSUBJ fund@V@ROOT banker@N@OBL	0.5335568168602288
139	banker@N@NSUBJ fund@V@ROOT program@N@OBL	0.5477932341914847
140	tourist@N@NSUBJ exit@V@ROOT bus@N@OBJ	0.5709145460729801
141	bus@N@NSUBJ exit@V@ROOT tourist@N@OBJ	0.5204626655045413
142	bus@N@NSUBJ exit@V@ROOT tourist@N@OBL	0.24396506290887987
143	tourist@N@NSUBJ exit@V@ROOT bus@N@OBL	0.6397680589076997
144	vacationer@N@NSUBJ leave@V@ROOT shuttle@N@OBJ	0.5210008021193083
145	shuttle@N@NSUBJ leave@V@ROOT vacationer@N@OBJ	0.30412079063634445
146	shuttle@N@NSUBJ leave@V@ROOT vacationer@N@OBL	0.30707514234620903
147	vacationer@N@NSUBJ leave@V@ROOT shuttle@N@OBL	0.4306308281027078
148	dietitian@N@NSUBJ loathe@V@ROOT jam@N@OBJ	0.4230602850534195
149	jam@N@NSUBJ loathe@V@ROOT dietitian@N@OBJ	0.15602974089557864
150	jam@N@NSUBJ loathe@V@ROOT dietitian@N@OBL	0.35066283731521364
151	dietitian@N@NSUBJ loathe@V@ROOT jam@N@OBL	0.3236670491372504
152	nutritionist@N@NSUBJ detest@V@ROOT marmalade@N@OBJ	0.3355423003600342
153	marmalade@N@NSUBJ detest@V@ROOT nutritionist@N@OBJ	0.3532384651553089
154	marmalade@N@NSUBJ detest@V@ROOT nutritionist@N@OBL	0.4513281460927254
155	nutritionist@N@NSUBJ detest@V@ROOT marmalade@N@OBL	0.2548049248883194
156	scientist@N@NSUBJ discover@V@ROOT cure@N@OBJ	0.5973280678907728
157	cure@N@NSUBJ discover@V@ROOT scientist@N@OBJ	0.5049601505238515
158	cure@N@NSUBJ discover@V@ROOT scientist@N@OBL	0.8268005415278057
159	scientist@N@NSUBJ discover@V@ROOT cure@N@OBL	0.3213814215733177
160	researcher@N@NSUBJ find@V@ROOT remedy@N@OBJ	0.5648418851003114
161	remedy@N@NSUBJ find@V@ROOT researcher@N@OBJ	0.3243846581921582
162	remedy@N@NSUBJ find@V@ROOT researcher@N@OBL	0.53897915852443
163	researcher@N@NSUBJ find@V@ROOT remedy@N@OBL	0.1808193414497289
164	doctor@N@NSUBJ close@V@ROOT school@N@OBJ	0.4732342568257264
165	school@N@NSUBJ close@V@ROOT doctor@N@OBJ	0.4531242459286289
166	school@N@NSUBJ close@V@ROOT doctor@N@OBL	0.1899496572612338
167	doctor@N@NSUBJ close@V@ROOT school@N@OBL	0.6244097612460829
168	maid@N@NSUBJ lift@V@ROOT cushion@N@OBJ	0.5374264440284345
169	cushion@N@NSUBJ lift@V@ROOT maid@N@OBJ	0.48578383000857417
170	cushion@N@NSUBJ lift@V@ROOT maid@N@OBL	0.5028768224106243
171	maid@N@NSUBJ lift@V@ROOT cushion@N@OBL	0.49626567275527145
172	designer@N@NSUBJ suggest@V@ROOT drape@N@OBJ	0.2965724494082167
173	drape@N@NSUBJ suggest@V@ROOT designer@N@OBJ	0.4732837592209199
174	drape@N@NSUBJ suggest@V@ROOT designer@N@OBL	0.40460954471124544
175	designer@N@NSUBJ suggest@V@ROOT drape@N@OBL	0.3249742869146681
176	decorator@N@NSUBJ recommend@V@ROOT curtain@N@OBJ	0.4223930472610905
177	curtain@N@NSUBJ recommend@V@ROOT decorator@N@OBJ	0.3769507031438012
178	curtain@N@NSUBJ recommend@V@ROOT decorator@N@OBL	0.2791253616739623
179	decorator@N@NSUBJ recommend@V@ROOT curtain@N@OBL	0.416607971691189
180	builder@N@NSUBJ wash@V@ROOT pant@N@OBJ	0.4020075509863372
181	pant@N@NSUBJ wash@V@ROOT builder@N@OBJ	0.4091512829203109
182	pant@N@NSUBJ wash@V@ROOT builder@N@OBL	0.4426819711686135
183	builder@N@NSUBJ wash@V@ROOT pant@N@OBL	0.2648247926656142
184	contractor@N@NSUBJ launder@V@ROOT trouser@N@OBJ	0.44090816803885424
185	trouser@N@NSUBJ launder@V@ROOT contractor@N@OBJ	0.35732592179994116
186	trouser@N@NSUBJ launder@V@ROOT contractor@N@OBL	0.541433330654546
187	contractor@N@NSUBJ launder@V@ROOT trouser@N@OBL	0.397783659773556
188	servant@N@NSUBJ wipe@V@ROOT sink@N@OBJ	0.48734118048463304
189	sink@N@NSUBJ wipe@V@ROOT servant@N@OBJ	0.4882765235710904
190	sink@N@NSUBJ wipe@V@ROOT servant@N@OBL	0.5069659955038747
191	servant@N@NSUBJ wipe@V@ROOT sink@N@OBL	0.2974254419291825
192	domestic@N@NSUBJ clean@V@ROOT basin@N@OBJ	0.6044848539718634
193	basin@N@NSUBJ clean@V@ROOT domestic@N@OBJ	0.4485871109685593
194	basin@N@NSUBJ clean@V@ROOT domestic@N@OBL	0.41104100713167746
195	domestic@N@NSUBJ clean@V@ROOT basin@N@OBL	0.31732156747244666
196	friend@N@NSUBJ don@V@ROOT pullover@N@OBJ	0.6037568836248305
197	pullover@N@NSUBJ don@V@ROOT friend@N@OBJ	0.5220243842934207
198	pullover@N@NSUBJ don@V@ROOT friend@N@OBL	0.357894430073624
199	friend@N@NSUBJ don@V@ROOT pullover@N@OBL	0.45865350364627533
200	convalescent@N@NSUBJ take@V@ROOT pill@N@OBJ	0.2961145353578233
201	pill@N@NSUBJ take@V@ROOT convalescent@N@OBJ	0.30695737606981477
202	pill@N@NSUBJ take@V@ROOT convalescent@N@OBL	0.37918778130308983
203	convalescent@N@NSUBJ take@V@ROOT pill@N@OBL	0.49713310218582496
204	patient@N@NSUBJ swallow@V@ROOT medicine@N@OBJ	0.7203009792714488
205	medicine@N@NSUBJ swallow@V@ROOT patient@N@OBJ	0.5619971365551045
206	medicine@N@NSUBJ swallow@V@ROOT patient@N@OBL	0.4209763798111259
207	patient@N@NSUBJ swallow@V@ROOT medicine@N@OBL	0.3076195409825795
208	hoarder@N@NSUBJ hide@V@ROOT stash@N@OBJ	0.36894427367930915
209	stash@N@NSUBJ hide@V@ROOT hoarder@N@OBJ	0.41528487346039566
210	stash@N@NSUBJ hide@V@ROOT hoarder@N@OBL	0.4006243287099085
211	hoarder@N@NSUBJ hide@V@ROOT stash@N@OBL	0.44818999945307025
212	packrat@N@NSUBJ conceal@V@ROOT stockpile@N@OBJ	0.31929952754127844
213	stockpile@N@NSUBJ conceal@V@ROOT packrat@N@OBJ	0.30304636050173306
214	stockpile@N@NSUBJ conceal@V@ROOT packrat@N@OBL	0.3154247180887415
215	packrat@N@NSUBJ conceal@V@ROOT stockpile@N@OBL	0.41680582504837094
216	reporter@N@NSUBJ abandon@V@ROOT story@N@OBJ	0.6191273482972343
217	story@N@NSUBJ abandon@V@ROOT reporter@N@OBJ	0.29717206266900975
218	story@N@NSUBJ abandon@V@ROOT reporter@N@OBL	0.5714299710771441
219	reporter@N@NSUBJ abandon@V@ROOT story@N@OBL	0.49234961469794447
220	journalist@N@NSUBJ ditch@V@ROOT article@N@OBJ	0.1800739132909066
221	article@N@NSUBJ ditch@V@ROOT journalist@N@OBJ	0.5801276570869114
222	article@N@NSUBJ ditch@V@ROOT journalist@N@OBL	0.6227857542233872
223	journalist@N@NSUBJ ditch@V@ROOT article@N@OBL	0.42529174379306833
224	carnivore@N@NSUBJ eat@V@ROOT steak@N@OBJ	0.6613318916113157
225	steak@N@NSUBJ eat@V@ROOT carnivore@N@OBJ	0.4870765123229026
226	steak@N@NSUBJ eat@V@ROOT carnivore@N@OBL	0.341978033538614
227	carnivore@N@NSUBJ eat@V@ROOT steak@N@OBL	0.5174270648356103
228	eater@N@NSUBJ devour@V@ROOT filet@N@OBJ	0.5883890552194886
229	filet@N@NSUBJ devour@V@ROOT eater@N@OBJ	0.6100981452639508
230	filet@N@NSUBJ devour@V@ROOT eater@N@OBL	0.6062200682297635
231	eater@N@NSUBJ devour@V@ROOT filet@N@OBL	0.46571717436649407
232	man@N@NSUBJ drink@V@ROOT soda@N@OBJ	0.5178259062111628
233	soda@N@NSUBJ drink@V@ROOT man@N@OBJ	0.5519611908477192
234	soda@N@NSUBJ drink@V@ROOT man@N@OBL	0.4557749384904981
235	man@N@NSUBJ drink@V@ROOT soda@N@OBL	0.16925179795901835
236	teacher@N@NSUBJ buy@V@ROOT laptop@N@OBJ	0.7474550939850841
237	laptop@N@NSUBJ buy@V@ROOT teacher@N@OBJ	0.5145589221093644
238	laptop@N@NSUBJ buy@V@ROOT teacher@N@OBL	0.34590878759403465
239	teacher@N@NSUBJ buy@V@ROOT laptop@N@OBL	0.19794273077326185
240	instructor@N@NSUBJ purchase@V@ROOT computer@N@OBJ	0.4229686664415784
241	computer@N@NSUBJ purchase@V@ROOT instructor@N@OBJ	0.4028260706204825
242	computer@N@NSUBJ purchase@V@ROOT instructor@N@OBL	0.5192241604540319
243	instructor@N@NSUBJ purchase@V@ROOT computer@N@OBL	0.46626051750206576
244	lady@N@NSUBJ cook@V@ROOT supper@N@OBJ	0.7504952128411949
245	supper@N@NSUBJ cook@V@ROOT lady@N@OBJ	0.588939479861626
246	supper@N@NSUBJ cook@V@ROOT lady@N@OBL	0.46366832605713704
247	lady@N@NSUBJ cook@V@ROOT supper@N@OBL	0.6182933615358241
248	woman@N@NSUBJ prepare@V@ROOT dinner@N@OBJ	0.34756055743283154
249	dinner@N@NSUBJ prepare@V@ROOT woman@N@OBJ	0.46742768617982144
250	dinner@N@NSUBJ prepare@V@ROOT woman@N@OBL	0.45527256153055107
251	woman@N@NSUBJ prepare@V@ROOT dinner@N@OBL	0.4949893665982099
252	traveler@N@NSUBJ lose@V@ROOT souvenir@N@OBJ	0.48911125048046245
253	souvenir@N@NSUBJ lose@V@ROOT traveler@N@OBJ	0.4734266070340134
254	souvenir@N@NSUBJ lose@V@ROOT traveler@N@OBL	0.3404364492747709
255	traveler@N@NSUBJ lose@V@ROOT souvenir@N@OBL	0.4059218997723557
256	sightseer@N@NSUBJ misplace@V@ROOT memento@N@OBJ	0.34988389122487595
257	memento@N@NSUBJ misplace@V@ROOT sightseer@N@OBJ	0.2809237669446766
258	memento@N@NSUBJ misplace@V@ROOT sightseer@N@OBL	0.35373261770142306
259	sightseer@N@NSUBJ misplace@V@ROOT memento@N@OBL	0.5112446309914045
260	comedian@N@NSUBJ confirm@V@ROOT itinerary@N@OBJ	0.34880924228416554
261	itinerary@N@NSUBJ confirm@V@ROOT comedian@N@OBJ	0.31157521698989765
262	itinerary@N@NSUBJ confirm@V@ROOT comedian@N@OBL	0.33935645834788586
263	comedian@N@NSUBJ confirm@V@ROOT itinerary@N@OBL	0.3803137844760326
264	humorist@N@NSUBJ verify@V@ROOT schedule@N@OBJ	0.468195478454943
265	schedule@N@NSUBJ verify@V@ROOT humorist@N@OBJ	0.3197846728526166
266	schedule@N@NSUBJ verify@V@ROOT humorist@N@OBL	0.38521244070916594
267	humorist@N@NSUBJ verify@V@ROOT schedule@N@OBL	0.5132920596185893
268	woodworker@N@NSUBJ skim@V@ROOT brochure@N@OBJ	0.4187752769963837
269	brochure@N@NSUBJ skim@V@ROOT woodworker@N@OBJ	0.24415259116882781
270	brochure@N@NSUBJ skim@V@ROOT woodworker@N@OBL	0.31177504093755615
271	woodworker@N@NSUBJ skim@V@ROOT brochure@N@OBL	0.2835086904066906
272	guide@N@NSUBJ reach@V@ROOT target@N@OBJ	0.5453676451317399
273	target@N@NSUBJ reach@V@ROOT guide@N@OBJ	0.41645060938010836
274	target@N@NSUBJ reach@V@ROOT guide@N@OBL	0.2816082059951046
275	guide@N@NSUBJ reach@V@ROOT target@N@OBL	0.4010080088959326
276	townspeople@N@NSUBJ farm@V@ROOT grain@N@OBJ	0.6020208895973126
277	grain@N@NSUBJ farm@V@ROOT townspeople@N@OBJ	0.42078032587773107
278	grain@N@NSUBJ farm@V@ROOT townspeople@N@OBL	0.5095320524692102
279	townspeople@N@NSUBJ farm@V@ROOT grain@N@OBL	0.3335850363955659
280	villager@N@NSUBJ cultivate@V@ROOT crop@N@OBJ	0.7404037555193582
281	crop@N@NSUBJ cultivate@V@ROOT villager@N@OBJ	0.452767370056653
282	crop@N@NSUBJ cultivate@V@ROOT villager@N@OBL	0.5065117069423686
283	villager@N@NSUBJ cultivate@V@ROOT crop@N@OBL	0.4793486754305438
284	mentor@N@NSUBJ revise@V@ROOT manuscript@N@OBJ	0.4725903234769585
285	manuscript@N@NSUBJ revise@V@ROOT mentor@N@OBJ	0.4299848476774911
286	manuscript@N@NSUBJ revise@V@ROOT mentor@N@OBL	0.4599843463742792
287	mentor@N@NSUBJ revise@V@ROOT manuscript@N@OBL	0.45196627557473446
288	advisor@N@NSUBJ edit@V@ROOT paper@N@OBJ	0.37166989232951886
289	paper@N@NSUBJ edit@V@ROOT advisor@N@OBJ	0.40416692843299895
290	paper@N@NSUBJ edit@V@ROOT advisor@N@OBL	0.4988281570338978
291	advisor@N@NSUBJ edit@V@ROOT paper@N@OBL	0.49070650342331523
292	accountant@N@NSUBJ make@V@ROOT chart@N@OBJ	0.4391831350202937
293	chart@N@NSUBJ make@V@ROOT accountant@N@OBJ	0.4455895985028454
294	chart@N@NSUBJ make@V@ROOT accountant@N@OBL	0.5859646972293798
295	accountant@N@NSUBJ make@V@ROOT chart@N@OBL	0.3883506621975863
296	bookkeeper@N@NSUBJ create@V@ROOT graph@N@OBJ	0.4982855066779167
297	graph@N@NSUBJ create@V@ROOT bookkeeper@N@OBJ	0.2865189391371563
298	graph@N@NSUBJ create@V@ROOT bookkeeper@N@OBL	0.33854175452526825
299	bookkeeper@N@NSUBJ create@V@ROOT graph@N@OBL	0.5174717420385248
300	logger@N@NSUBJ fell@V@ROOT tree@N@OBJ	0.7325287991239626
301	tree@N@NSUBJ fell@V@ROOT logger@N@OBJ	0.46125316665280347
302	tree@N@NSUBJ fell@V@ROOT logger@N@OBL	0.48764156660905944
303	logger@N@NSUBJ fell@V@ROOT tree@N@OBL	0.33121368427378006
304	tycoon@N@NSUBJ run@V@ROOT company@N@OBJ	0.7318773534919661
305	company@N@NSUBJ run@V@ROOT tycoon@N@OBJ	0.5110682513426629
306	company@N@NSUBJ run@V@ROOT tycoon@N@OBL	0.5110998291355388
307	tycoon@N@NSUBJ run@V@ROOT company@N@OBL	0.5694330113430073
308	mogul@N@NSUBJ govern@V@ROOT corporation@N@OBJ	0.6090307287277734
309	corporation@N@NSUBJ govern@V@ROOT mogul@N@OBJ	0.40267196031423225
310	corporation@N@NSUBJ govern@V@ROOT mogul@N@OBL	0.46938814569449394
311	mogul@N@NSUBJ govern@V@ROOT corporation@N@OBL	0.6267067742872855
312	campaigner@N@NSUBJ bias@V@ROOT ballot@N@OBJ	0.49481346422630346
313	ballot@N@NSUBJ bias@V@ROOT campaigner@N@OBJ	0.4836750607944358
314	ballot@N@NSUBJ bias@V@ROOT campaigner@N@OBL	0.5059483555104201
315	campaigner@N@NSUBJ bias@V@ROOT ballot@N@OBL	0.43949290243992367
316	activist@N@NSUBJ prejudice@V@ROOT vote@N@OBJ	0.41559280023207457
317	vote@N@NSUBJ prejudice@V@ROOT activist@N@OBJ	0.5424825292626194
318	vote@N@NSUBJ prejudice@V@ROOT activist@N@OBL	0.40495173653803385
319	activist@N@NSUBJ prejudice@V@ROOT vote@N@OBL	0.48492251962365973
320	stewardess@N@NSUBJ pull@V@ROOT suitcase@N@OBJ	0.49279568061899903
321	suitcase@N@NSUBJ pull@V@ROOT stewardess@N@OBJ	0.4075518378354409
322	suitcase@N@NSUBJ pull@V@ROOT stewardess@N@OBL	0.337508603701274
323	stewardess@N@NSUBJ pull@V@ROOT suitcase@N@OBL	0.5382195988653825
324	attendant@N@NSUBJ drag@V@ROOT luggage@N@OBJ	0.6322922052934575
325	luggage@N@NSUBJ drag@V@ROOT attendant@N@OBJ	0.46891803730180703
326	luggage@N@NSUBJ drag@V@ROOT attendant@N@OBL	0.35490373261549113
327	attendant@N@NSUBJ drag@V@ROOT luggage@N@OBL	0.4875704322052803
328	congressman@N@NSUBJ deliver@V@ROOT speech@N@OBJ	0.6834140323912656
329	speech@N@NSUBJ deliver@V@ROOT congressman@N@OBJ	0.40666182007467744
330	speech@N@NSUBJ deliver@V@ROOT congressman@N@OBL	0.46291440800522454
