ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType,agent,patient,sentence,verb
9,active,plausible,The mortician arranged the burial.,The mortician arranged the burial.,AI,6.720220155,9.068431126,10.61632597,10.71798916
9,active,implausible,The burial arranged the mortician.,The mortician arranged the burial.,AI,9.068431126,6.720220155,10.61632597,10.71798916
10,active,plausible,The supervisor supplied the liquor.,The supervisor supplied the liquor.,AI,8.805974659,9.546812609,11.22039822,11.09201672
10,active,implausible,The liquor supplied the supervisor.,The supervisor supplied the liquor.,AI,9.546812609,8.805974659,11.22039822,11.09201672
11,active,plausible,The overseer provided the alcohol.,The overseer provided the alcohol.,AI,8.430763463,10.27732439,11.55319089,11.14755569
11,active,implausible,The alcohol provided the overseer.,The overseer provided the alcohol.,AI,10.27732439,8.430763463,11.55319089,11.14755569
12,active,plausible,The troublemaker crashed the car.,The troublemaker crashed the car.,AI,6.586171655,14.1218468,11.25074856,9.108639817
12,active,implausible,The car crashed the troublemaker.,The troublemaker crashed the car.,AI,14.1218468,6.586171655,11.25074856,9.108639817
13,active,plausible,The hooligan wrecked the vehicle.,The hooligan wrecked the vehicle.,AI,7.236339343,9.474472304,10.60554659,9.201602306
13,active,implausible,The vehicle wrecked the hooligan.,The hooligan wrecked the vehicle.,AI,9.474472304,7.236339343,10.60554659,9.201602306
14,active,plausible,The repairman fixed the tap.,The repairman fixed the tap.,AI,6.03787092,11.59200463,11.37734024,11.29729115
14,active,implausible,The tap fixed the repairman.,The repairman fixed the tap.,AI,11.59200463,6.03787092,11.37734024,11.29729115
15,active,plausible,The handyman repaired the faucet.,The handyman repaired the faucet.,AI,6.361302478,7.515889085,10.1591177,10.11318106
15,active,implausible,The faucet repaired the handyman.,The handyman repaired the faucet.,AI,7.515889085,6.361302478,10.1591177,10.11318106
16,active,plausible,The secretary organized the desk.,The secretary organized the desk.,AI,9.464672465,9.421249386,11.47765413,12.38694315
16,active,implausible,The desk organized the secretary.,The secretary organized the desk.,AI,9.421249386,9.464672465,11.47765413,12.38694315
17,active,plausible,The receptionist tidied the table.,The receptionist tidied the table.,AI,6.637258031,11.17589907,10.70387967,9.28924397
17,active,implausible,The table tidied the receptionist.,The receptionist tidied the table.,AI,11.17589907,6.637258031,10.70387967,9.28924397
18,active,plausible,The pilot steered the airplane.,The pilot steered the airplane.,AI,9.604811939,7.504942068,10.57936169,9.605755144
18,active,implausible,The airplane steered the pilot.,The pilot steered the airplane.,AI,7.504942068,9.604811939,10.57936169,9.605755144
19,active,plausible,The aviator maneuvered the jet.,The aviator maneuvered the jet.,AI,7.364547014,10.74613174,10.71357865,8.933268479
19,active,implausible,The jet maneuvered the aviator.,The aviator maneuvered the jet.,AI,10.74613174,7.364547014,10.71357865,8.933268479
20,active,plausible,The chef sauteed the squid.,The chef sautéed the squid.,AI,9.310366686,8.043984431,10.56688766,9.155989777
20,active,implausible,The squid sauteed the chef.,The chef sautéed the squid.,AI,8.043984431,9.310366686,10.56688766,9.155989777
21,active,plausible,The cook grilled the octopus.,The cook grilled the octopus.,AI,10.46070046,7.689371108,10.84514637,9.450065683
21,active,implausible,The octopus grilled the cook.,The cook grilled the octopus.,AI,7.689371108,10.46070046,10.84514637,9.450065683
22,active,plausible,The ship captain promised the triumph.,The ship captain promised a triumph.,AI,6.921658184,10.59583441,11.57792247,11.13801381
22,active,implausible,The triumph promised the ship captain.,The ship captain promised a triumph.,AI,10.59583441,6.921658184,11.57792247,11.13801381
23,active,plausible,The skipper guaranteed the victory.,The skipper guaranteed a victory.,AI,7.912056888,9.7179408,10.98236888,9.278279355
23,active,implausible,The victory guaranteed the skipper.,The skipper guaranteed a victory.,AI,9.7179408,7.912056888,10.98236888,9.278279355
24,active,plausible,The milliner adorned the fedora.,The milliner adorned the fedora.,AI,8.044305407,6.86171134,10.3164008,9.979985524
24,active,implausible,The fedora adorned the milliner.,The milliner adorned the fedora.,AI,6.86171134,8.044305407,10.3164008,9.979985524
25,active,plausible,The hatter decorated the bowler.,The hatter decorated the bowler.,AI,8.263332667,7.368970402,10.38298199,10.821916
25,active,implausible,The bowler decorated the hatter.,The hatter decorated the bowler.,AI,7.368970402,8.263332667,10.38298199,10.821916
26,active,plausible,The serviceman hoisted the flag.,The serviceman hoisted the flag.,AI,5.774551546,11.29960847,10.62773563,8.877939835
26,active,implausible,The flag hoisted the serviceman.,The serviceman hoisted the flag.,AI,11.29960847,5.774551546,10.62773563,8.877939835
27,active,plausible,The soldier raised the banner.,The soldier raised the banner.,AI,10.53228286,9.132054454,11.69330558,10.93089023
27,active,implausible,The banner raised the soldier.,The soldier raised the banner.,AI,9.132054454,10.53228286,11.69330558,10.93089023
28,active,plausible,The agent failed the mission.,The agent failed the mission.,AI,10.8843668,10.88781069,12.18864297,11.38523981
28,active,implausible,The mission failed the agent.,The agent failed the mission.,AI,10.88781069,10.8843668,12.18864297,11.38523981
29,active,plausible,The operative blew the assignment.,The operative blew the assignment.,AI,8.773074951,9.36288977,11.14716256,8.106212903
29,active,implausible,The assignment blew the operative.,The operative blew the assignment.,AI,9.36288977,8.773074951,11.14716256,8.106212903
30,active,plausible,The anchorman garbled the expression.,The anchorman garbled the expression.,AI,5.673323267,10.31906799,10.40250426,8.092851028
30,active,implausible,The expression garbled the anchorman.,The anchorman garbled the expression.,AI,10.31906799,5.673323267,10.40250426,8.092851028
31,active,plausible,The announcer mispronounced the word.,The announcer mispronounced the word.,AI,6.70930434,11.538983,10.81539535,7.734558844
31,active,implausible,The word mispronounced the announcer.,The announcer mispronounced the word.,AI,11.538983,6.70930434,10.81539535,7.734558844
32,active,plausible,The author finished the novel.,The author finished the novel.,AI,12.03998264,10.7908231,12.20274739,9.862509296
32,active,implausible,The novel finished the author.,The author finished the novel.,AI,10.7908231,12.03998264,12.20274739,9.862509296
33,active,plausible,The writer completed the book.,The writer completed the book.,AI,10.48128,11.84813262,12.27960625,11.21100923
33,active,implausible,The book completed the writer.,The writer completed the book.,AI,11.84813262,10.48128,12.27960625,11.21100923
34,active,plausible,The financier sponsored the project.,The financier sponsored the project.,AI,8.440312147,10.99551152,11.06494408,8.860499168
34,active,implausible,The project sponsored the financier.,The financier sponsored the project.,AI,10.99551152,8.440312147,11.06494408,8.860499168
35,active,plausible,The banker funded the program.,The banker funded the program.,AI,8.522578664,11.28115733,11.20543904,11.72902829
35,active,implausible,The program funded the banker.,The banker funded the program.,AI,11.28115733,8.522578664,11.20543904,11.72902829
36,active,plausible,The tourist exited the bus.,The tourist exited the bus.,AI,8.745921121,12.36680022,11.39864716,9.949607488
36,active,implausible,The bus exited the tourist.,The tourist exited the bus.,AI,12.36680022,8.745921121,11.39864716,9.949607488
37,active,plausible,The vacationer left the shuttle.,The vacationer left the shuttle.,AI,6.335054251,8.620291149,11.06579385,10.8799887
37,active,implausible,The shuttle left the vacationer.,The vacationer left the shuttle.,AI,8.620291149,6.335054251,11.06579385,10.8799887
38,active,plausible,The dietitian loathed the jam.,The dietitian loathed jam.,AI,6.826545224,10.95987061,10.79566381,9.658353983
38,active,implausible,The jam loathed the dietitian.,The dietitian loathed jam.,AI,10.95987061,6.826545224,10.79566381,9.658353983
39,active,plausible,The nutritionist detested the marmalade.,The nutritionist detested marmalade.,AI,6.582025139,7.578145472,10.12844379,9.895606579
39,active,implausible,The marmalade detested the nutritionist.,The nutritionist detested marmalade.,AI,7.578145472,6.582025139,10.12844379,9.895606579
40,active,plausible,The scientist discovered the cure.,The scientist discovered the cure.,AI,9.106312302,10.33318989,11.64427285,10.79743042
40,active,implausible,The cure discovered the scientist.,The scientist discovered the cure.,AI,10.33318989,9.106312302,11.64427285,10.79743042
41,active,plausible,The researcher found the remedy.,The researcher found the remedy.,AI,8.628734566,9.513477399,11.83905679,11.55943684
41,active,implausible,The remedy found the researcher.,The researcher found the remedy.,AI,9.513477399,8.628734566,11.83905679,11.55943684
42,active,plausible,The doctor closed the school.,The doctor closed the school.,AI,10.23160354,11.78379194,12.26398187,11.26821348
42,active,implausible,The school closed the doctor.,The doctor closed the school.,AI,11.78379194,10.23160354,12.26398187,11.26821348
43,active,plausible,The maid lifted the cushion.,The maid lifted the cushion.,AI,10.24881334,8.533460164,11.15328761,9.99341966
43,active,implausible,The cushion lifted the maid.,The maid lifted the cushion.,AI,8.533460164,10.24881334,11.15328761,9.99341966
44,active,plausible,The designer suggested the drapes.,The designer suggested the drapes.,AI,7.738488122,6.361302478,10.6918942,10.97999056
44,active,implausible,The drapes suggested the designer.,The designer suggested the drapes.,AI,6.361302478,7.738488122,10.6918942,10.97999056
45,active,plausible,The decorator recommended the curtains.,The decorator recommended the curtains.,AI,7.232733136,6.464588304,10.50154538,10.44269653
45,active,implausible,The curtains recommended the decorator.,The decorator recommended the curtains.,AI,6.464588304,7.232733136,10.50154538,10.44269653
46,active,plausible,The builder washed the pants.,The builder washed the pants.,AI,8.078067882,7.917171989,10.62932606,10.98351148
46,active,implausible,The pants washed the builder.,The builder washed the pants.,AI,7.917171989,8.078067882,10.62932606,10.98351148
47,active,plausible,The contractor laundered the trousers.,The contractor laundered the trousers.,AI,9.174194925,6.988413182,10.35662249,8.434463544
47,active,implausible,The trousers laundered the contractor.,The contractor laundered the trousers.,AI,6.988413182,9.174194925,10.35662249,8.434463544
48,active,plausible,The servant wiped the sink.,The servant wiped the sink.,AI,10.31128328,9.821626526,11.2474482,8.551594618
48,active,implausible,The sink wiped the servant.,The servant wiped the sink.,AI,9.821626526,10.31128328,11.2474482,8.551594618
49,active,plausible,The domestic cleaned the wash basin.,The domestic cleaned the wash basin.,AI,10.13915238,6.656726524,11.11793927,10.62580511
49,active,implausible,The wash basin cleaned the domestic.,The domestic cleaned the wash basin.,AI,6.656726524,10.13915238,11.11793927,10.62580511
50,active,plausible,The friend donned the pullover.,The friend donned the pullover.,AI,11.22610968,6.66949809,10.72899859,12.48818675
50,active,implausible,The pullover donned the friend.,The friend donned the pullover.,AI,6.66949809,11.22610968,10.72899859,12.48818675
51,active,plausible,The convalescent took the pill.,The convalescent took the pill.,AI,7.579167967,10.89049766,11.50227966,9.548097497
51,active,implausible,The pill took the convalescent.,The convalescent took the pill.,AI,10.89049766,7.579167967,11.50227966,9.548097497
52,active,plausible,The patient swallowed the medicine.,The patient swallowed the medicine.,AI,11.11489267,9.857024678,11.4402665,9.361257257
52,active,implausible,The medicine swallowed the patient.,The patient swallowed the medicine.,AI,9.857024678,11.11489267,11.4402665,9.361257257
53,active,plausible,The hoarder hid the stash.,The hoarder hid the stash.,AI,6.801283034,7.485491608,10.96384223,11.03880136
53,active,implausible,The stash hid the hoarder.,The hoarder hid the stash.,AI,7.485491608,6.801283034,10.96384223,11.03880136
54,active,plausible,The packrat concealed the stockpile.,The packrat concealed the stockpile.,AI,6.289715571,7.113142109,10.17206016,9.560574619
54,active,implausible,The stockpile concealed the packrat.,The packrat concealed the stockpile.,AI,7.113142109,6.289715571,10.17206016,9.560574619
55,active,plausible,The reporter abandoned the story.,The reporter abandoned the story.,AI,8.450839691,10.41783696,11.57249639,10.63935892
55,active,implausible,The story abandoned the reporter.,The reporter abandoned the story.,AI,10.41783696,8.450839691,11.57249639,10.63935892
56,active,plausible,The journalist ditched the article.,The journalist ditched the article.,AI,8.554488976,10.41924101,10.98006105,9.165970424
56,active,implausible,The article ditched the journalist.,The journalist ditched the article.,AI,10.41924101,8.554488976,10.98006105,9.165970424
57,active,plausible,The carnivore ate the steak.,The carnivore ate the steak.,AI,7.178545484,8.323608442,11.29717105,11.49006617
57,active,implausible,The steak ate the carnivore.,The carnivore ate the steak.,AI,8.323608442,7.178545484,11.29717105,11.49006617
58,active,plausible,The meat-eater devoured the filet.,The meat-eater devoured the filet.,AI,0,8.519590316,9.02198937,9.361773076
58,active,implausible,The filet devoured the meat-eater.,The meat-eater devoured the filet.,AI,8.519590316,0,9.02198937,9.361773076
59,active,plausible,The man drank the soda.,The man drank the soda.,AI,14.09497319,9.915020788,12.24989947,7.74586823
59,active,implausible,The soda drank the man.,The man drank the soda.,AI,9.915020788,14.09497319,12.24989947,7.74586823
60,active,plausible,The teacher bought the laptop.,The teacher bought the laptop.,AI,10.66672034,5.963579344,10.93576182,8.554874258
60,active,implausible,The laptop bought the teacher.,The teacher bought the laptop.,AI,5.963579344,10.66672034,10.93576182,8.554874258
61,active,plausible,The instructor purchased the computer.,The instructor purchased the computer.,AI,8.514188682,10.01681624,11.2912115,10.75111393
61,active,implausible,The computer purchased the instructor.,The instructor purchased the computer.,AI,10.01681624,8.514188682,11.2912115,10.75111393
62,active,plausible,The lady cooked the supper.,The lady cooked the supper.,AI,10.15428518,9.184304357,11.17279319,10.46070046
62,active,implausible,The supper cooked the lady.,The lady cooked the supper.,AI,9.184304357,10.15428518,11.17279319,10.46070046
63,active,plausible,The woman prepared the dinner.,The woman prepared the dinner.,AI,10.80758424,9.746658289,11.87723428,11.27762077
63,active,implausible,The dinner prepared the woman.,The woman prepared the dinner.,AI,9.746658289,10.80758424,11.87723428,11.27762077
64,active,plausible,The traveler lost the souvenir.,The traveler lost the souvenir.,AI,8.171882006,8.037866235,11.21405809,10.36690705
64,active,implausible,The souvenir lost the traveler.,The traveler lost the souvenir.,AI,8.037866235,8.171882006,11.21405809,10.36690705
65,active,plausible,The sightseer misplaced the memento.,The sightseer misplaced the memento.,AI,6.721425701,8.13123655,10.19513213,8.382975849
65,active,implausible,The memento misplaced the sightseer.,The sightseer misplaced the memento.,AI,8.13123655,6.721425701,10.19513213,8.382975849
66,active,plausible,The comedian confirmed the itinerary.,The comedian confirmed the itinerary.,AI,7.450660796,7.138867,10.61165744,10.90698298
66,active,implausible,The itinerary confirmed the comedian.,The comedian confirmed the itinerary.,AI,7.138867,7.450660796,10.61165744,10.90698298
67,active,plausible,The humorist verified the schedule.,The humorist verified the schedule.,AI,8.330381569,9.38303238,11.02484422,9.855609472
67,active,implausible,The schedule verified the humorist.,The humorist verified the schedule.,AI,9.38303238,8.330381569,11.02484422,9.855609472
68,active,plausible,The woodworker skimmed the brochure.,The woodworker skimmed the brochure.,AI,6.758094504,7.515889085,10.11991446,9.612600349
68,active,implausible,The brochure skimmed the woodworker.,The woodworker skimmed the brochure.,AI,7.515889085,6.758094504,10.11991446,9.612600349
69,active,plausible,The guide reached the target.,The guide reached the target.,AI,10.25107634,9.82113802,11.79451574,10.51251916
69,active,implausible,The target reached the guide.,The guide reached the target.,AI,9.82113802,10.25107634,11.79451574,10.51251916
70,active,plausible,The townsperson farmed the grain.,The townsperson farmed the grain.,AI,5.327876169,10.34605575,10.39532128,11.37772411
70,active,implausible,The grain farmed the townsperson.,The townsperson farmed the grain.,AI,10.34605575,5.327876169,10.39532128,11.37772411
71,active,plausible,The villager cultivated the crop.,The villager cultivated the crop.,AI,8.019283793,10.4580908,11.19061692,10.4285119
71,active,implausible,The crop cultivated the villager.,The villager cultivated the crop.,AI,10.4580908,8.019283793,11.19061692,10.4285119
72,active,plausible,The mentor revised the manuscript.,The mentor revised the manuscript.,AI,8.460834458,9.785604512,11.10036382,10.51238318
72,active,implausible,The manuscript revised the mentor.,The mentor revised the manuscript.,AI,9.785604512,8.460834458,11.10036382,10.51238318
73,active,plausible,The advisor edited the paper.,The advisor edited the paper.,AI,8.30028019,11.27541673,11.33494489,11.2811195
73,active,implausible,The paper edited the advisor.,The advisor edited the paper.,AI,11.27541673,8.30028019,11.33494489,11.2811195
74,active,plausible,The accountant made the chart.,The accountant made the chart.,AI,7.685703061,10.84261552,11.88208982,11.38849539
74,active,implausible,The chart made the accountant.,The accountant made the chart.,AI,10.84261552,7.685703061,11.88208982,11.38849539
75,active,plausible,The bookkeeper created the graph.,The bookkeeper created the graph.,AI,7.34536484,10.63011786,11.42564765,11.60255591
75,active,implausible,The graph created the bookkeeper.,The bookkeeper created the graph.,AI,10.63011786,7.34536484,11.42564765,11.60255591
76,active,plausible,The logger felled the pine tree.,The logger felled the pine tree.,AI,8.191740021,6.957497371,11.00660808,11.75265864
76,active,implausible,The pine tree felled the logger.,The logger felled the pine tree.,AI,6.957497371,8.191740021,11.00660808,11.75265864
77,active,plausible,The tycoon ran the company.,The tycoon ran the company.,AI,7.21964204,10.61817604,11.99313111,12.63420229
77,active,implausible,The company ran the tycoon.,The tycoon ran the company.,AI,10.61817604,7.21964204,11.99313111,12.63420229
78,active,plausible,The mogul governed the corporation.,The mogul governed the corporation.,AI,7.211556733,10.64112997,11.07728931,12.05531371
78,active,implausible,The corporation governed the mogul.,The mogul governed the corporation.,AI,10.64112997,7.211556733,11.07728931,12.05531371
79,active,plausible,The campaigner biased the ballot.,The campaigner biased the ballot.,AI,6.851184927,9.646657944,10.63927411,9.73346999
79,active,implausible,The ballot biased the campaigner.,The campaigner biased the ballot.,AI,9.646657944,6.851184927,10.63927411,9.73346999
80,active,plausible,The activist prejudiced the vote.,The activist prejudiced the vote.,AI,8.203304027,10.94109285,11.22615847,10.24177956
80,active,implausible,The vote prejudiced the activist.,The activist prejudiced the vote.,AI,10.94109285,8.203304027,11.22615847,10.24177956
81,active,plausible,The stewardess pulled the suitcase.,The stewardess pulled the suitcase.,AI,6.954638865,6.830874235,10.11293096,10.63067378
81,active,implausible,The suitcase pulled the stewardess.,The stewardess pulled the suitcase.,AI,6.830874235,6.954638865,10.11293096,10.63067378
82,active,plausible,The flight-attendant dragged the luggage.,The flight-attendant dragged the luggage.,AI,5.771441123,7.666221926,10.28610585,10.86346976
82,active,implausible,The luggage dragged the flight-attendant.,The flight-attendant dragged the luggage.,AI,7.666221926,5.771441123,10.28610585,10.86346976
83,active,plausible,The congressman delivered the speech.,The congressman delivered the speech.,AI,6.472346295,10.59770916,11.08832609,10.93686775
83,active,implausible,The speech delivered the congressman.,The congressman delivered the speech.,AI,10.59770916,6.472346295,11.08832609,10.93686775
84,active,plausible,The representative gave the address.,The representative gave the address.,AI,9.986955158,10.378572,11.85540091,9.417842227
84,active,implausible,The address gave the representative.,The representative gave the address.,AI,10.378572,9.986955158,11.85540091,9.417842227
85,active,plausible,The sheriff inspected the estate.,The sheriff inspected the estate.,AI,8.989444293,10.6195697,11.13273596,10.13666064
85,active,implausible,The estate inspected the sheriff.,The sheriff inspected the estate.,AI,10.6195697,8.989444293,11.13273596,10.13666064
86,active,plausible,The constable examined the property.,The constable examined the property.,AI,8.122074375,10.98849099,11.53487177,11.18005075
86,active,implausible,The property examined the constable.,The constable examined the property.,AI,10.98849099,8.122074375,11.53487177,11.18005075
87,active,plausible,The celebrity signed the photograph.,The celebrity signed the photograph.,AI,7.283448229,9.905784912,11.11059387,12.54921544
87,active,implausible,The photograph signed the celebrity.,The celebrity signed the photograph.,AI,9.905784912,7.283448229,11.11059387,12.54921544
88,active,plausible,The star autographed the picture.,The star autographed the picture.,AI,12.2022102,10.56640746,11.6652076,8.91918561
88,active,implausible,The picture autographed the star.,The star autographed the picture.,AI,10.56640746,12.2022102,11.6652076,8.91918561
89,active,plausible,The nanny tutored the boy.,The nanny tutored the boy.,AAN,7.560601163,11.22111488,10.98718527,9.563177963
89,active,implausible,The boy tutored the nanny.,The nanny tutored the boy.,AAN,11.22111488,7.560601163,10.98718527,9.563177963
90,active,plausible,The governess instructed the lad.,The governess instructed the lad.,AAN,8.008698183,11.64886271,11.26716504,11.02103608
90,active,implausible,The lad instructed the governess.,The governess instructed the lad.,AAN,11.64886271,8.008698183,11.26716504,11.02103608
91,active,plausible,The blackmailer threatened the senator.,The blackmailer threatened the senator.,AAN,6.776506992,9.564371825,10.87749207,9.70259461
91,active,implausible,The senator threatened the blackmailer.,The blackmailer threatened the senator.,AAN,9.564371825,6.776506992,10.87749207,9.70259461
92,active,plausible,The extortionist menaced the legislator.,The extortionist menaced the legislator.,AAN,6.708084084,8.706655856,10.34215397,9.509259076
92,active,implausible,The legislator menaced the extortionist.,The extortionist menaced the legislator.,AAN,8.706655856,6.708084084,10.34215397,9.509259076
93,active,plausible,The artist portrayed the philosopher.,The artist portrayed the philosopher.,AAN,10.44152943,9.610323817,11.26508206,8.678291112
93,active,implausible,The philosopher portrayed the artist.,The artist portrayed the philosopher.,AAN,9.610323817,10.44152943,11.26508206,8.678291112
94,active,plausible,The painter depicted the thinker.,The painter depicted the thinker.,AAN,8.823647949,8.649448771,10.79102901,9.356084386
94,active,implausible,The thinker depicted the painter.,The painter depicted the thinker.,AAN,8.649448771,8.823647949,10.79102901,9.356084386
95,active,plausible,The mechanic berated the intern.,The mechanic berated the intern.,AAN,9.916897239,11.35164107,11.41295849,8.873888135
95,active,implausible,The intern berated the mechanic.,The mechanic berated the intern.,AAN,11.35164107,9.916897239,11.41295849,8.873888135
96,active,plausible,The technician rebuked the aide.,The technician rebuked the aide.,AAN,7.715123604,9.340227633,10.65695328,9.107199613
96,active,implausible,The aide rebuked the technician.,The technician rebuked the aide.,AAN,9.340227633,7.715123604,10.65695328,9.107199613
97,active,plausible,The fairy enchanted the troll.,The fairy enchanted the troll.,AAN,9.09963225,9.648788833,11.09938821,9.766808354
97,active,implausible,The troll enchanted the fairy.,The fairy enchanted the troll.,AAN,9.648788833,9.09963225,11.09938821,9.766808354
98,active,plausible,The pixie mesmerized the ogre.,The pixie mesmerized the ogre.,AAN,7.238496841,8.633374946,10.3612907,9.035510681
98,active,implausible,The ogre mesmerized the pixie.,The pixie mesmerized the ogre.,AAN,8.633374946,7.238496841,10.3612907,9.035510681
99,active,plausible,The orderly assisted the dentist.,The orderly assisted the dentist.,AAN,7.340186835,8.315811132,10.48160906,10.92619025
99,active,implausible,The dentist assisted the orderly.,The orderly assisted the dentist.,AAN,8.315811132,7.340186835,10.48160906,10.92619025
100,active,plausible,The nurse helped the orthodontist.,The nurse helped the orthodontist.,AAN,10.09319841,6.300785795,10.63680653,11.1131044
100,active,implausible,The orthodontist helped the nurse.,The nurse helped the orthodontist.,AAN,6.300785795,10.09319841,10.63680653,11.1131044
101,active,plausible,The owner evicted the tenant.,The owner evicted the tenant.,AAN,10.91975031,9.882161766,11.38471772,8.786303878
101,active,implausible,The tenant evicted the owner.,The owner evicted the tenant.,AAN,9.882161766,10.91975031,11.38471772,8.786303878
102,active,plausible,The proprietor dislodged the renter.,The proprietor kicked out the renter.,AAN,8.947155771,7.790282381,10.59431853,8.507142856
102,active,implausible,The renter dislodged the proprietor.,The proprietor kicked out the renter.,AAN,7.790282381,8.947155771,10.59431853,8.507142856
103,active,plausible,The critic attacked the conservative.,The critic attacked the conservative.,AAN,11.10480684,8.889997357,11.59362767,10.70895845
103,active,implausible,The conservative attacked the critic.,The critic attacked the conservative.,AAN,8.889997357,11.10480684,11.59362767,10.70895845
104,active,plausible,The reviewer criticized the right-winger.,The reviewer criticized the right-winger.,AAN,7.60090246,0,9.02440283,11.10480684
104,active,implausible,The right-winger criticized the reviewer.,The reviewer criticized the right-winger.,AAN,0,7.60090246,9.02440283,11.10480684
105,active,plausible,The admirer badgered the director.,The admirer badgered the director.,AAN,8.281470858,10.26788758,10.87094568,8.357728417
105,active,implausible,The director badgered the admirer.,The admirer badgered the director.,AAN,10.26788758,8.281470858,10.87094568,8.357728417
106,active,plausible,The fan pestered the filmmaker.,The fan pestered the filmmaker.,AAN,12.31402979,6.418364936,10.98485959,8.597666576
106,active,implausible,The filmmaker pestered the fan.,The fan pestered the filmmaker.,AAN,6.418364936,12.31402979,10.98485959,8.597666576
107,active,plausible,The paramedic revived the youth.,The paramedic revived the youth.,AAN,6.620073207,10.31251298,10.87121356,10.17778039
107,active,implausible,The youth revived the paramedic.,The paramedic revived the youth.,AAN,10.31251298,6.620073207,10.87121356,10.17778039
108,active,plausible,The EMT resuscitated the youngster.,The EMT resuscitated the youngster.,AAN,8.780326391,7.630461262,10.46907387,8.920923462
108,active,implausible,The youngster resuscitated the EMT.,The EMT resuscitated the youngster.,AAN,7.630461262,8.780326391,10.46907387,8.920923462
109,active,plausible,The prankster duped the marketer.,The prankster duped the marketer.,AAN,6.54534966,6.472346295,9.847512903,8.769662508
109,active,implausible,The marketer duped the prankster.,The prankster duped the marketer.,AAN,6.472346295,6.54534966,9.847512903,8.769662508
110,active,plausible,The joker tricked the distributor.,The joker tricked the distributor.,AAN,7.481555702,8.037543185,10.37551636,10.13440084
110,active,implausible,The distributor tricked the joker.,The joker tricked the distributor.,AAN,8.037543185,7.481555702,10.37551636,10.13440084
111,active,plausible,The playboy courted the damsel.,The playboy courted the damsel.,AAN,6.855408799,8.298539545,10.28955071,11.9421071
111,active,implausible,The damsel courted the playboy.,The playboy courted the damsel.,AAN,8.298539545,6.855408799,10.28955071,11.9421071
112,active,plausible,The womanizer wooed the maiden.,The womanizer wooed the maiden.,AAN,6.013715156,9.422139822,10.31852457,12.3838673
112,active,implausible,The maiden wooed the womanizer.,The womanizer wooed the maiden.,AAN,9.422139822,6.013715156,10.31852457,12.3838673
113,active,plausible,The nomad cherished the clergyman.,The nomad cherished the clergyman.,AAN,8.812396905,7.28756064,10.49064152,9.078635881
113,active,implausible,The clergyman cherished the nomad.,The nomad cherished the clergyman.,AAN,7.28756064,8.812396905,10.49064152,9.078635881
114,active,plausible,The vagabond revered the priest.,The vagabond revered the priest.,AAN,8.963160243,10.61221276,11.18967279,11.76922522
114,active,implausible,The priest revered the vagabond.,The vagabond revered the priest.,AAN,10.61221276,8.963160243,11.18967279,11.76922522
115,active,plausible,The assassin shot the statesman.,The assassin shot the statesman.,AAN,9.699778914,8.595634618,11.65407135,10.48130805
115,active,implausible,The statesman shot the assassin.,The assassin shot the statesman.,AAN,8.595634618,9.699778914,11.65407135,10.48130805
116,active,plausible,The hit man killed the politician.,The hit man killed the politician.,AAN,7.025538315,9.026537719,12.29331414,10.87753763
116,active,implausible,The politician killed the hit man.,The hit man killed the politician.,AAN,9.026537719,7.025538315,12.29331414,10.87753763
