ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType,Subject,Object,Verb,Paired,is_globsem,in_olddata
165,Active,Plausible,The arsonist alarmed the vendor.,The arsonist alarmed the vendor.,AAN,arsonist,vendor,alarmed,True,False,True
166,Active,Plausible,The professional supported the beginner.,The beginner was supported by the professional.,AAN,professional,beginner,supported,True,False,True
167,Active,Plausible,The master encouraged the rookie.,The rookie was encouraged by the master.,AAN,master,rookie,encouraged,True,False,True
168,Active,Plausible,The magician hypnotized the crowd.,The magician hypnotized the crowd.,AAN,magician,crowd,hypnotized,True,False,True
169,Active,Plausible,The illusionist entranced the viewers.,The illusionist entranced the viewers.,AAN,illusionist,viewers,entranced,True,False,True
170,Active,Plausible,The businessman employed the expert.,The expert was employed by the businessman.,AAN,businessman,expert,employed,True,False,True
171,Active,Plausible,The entrepreneur hired the specialist.,The specialist was hired by the entrepreneur.,AAN,entrepreneur,specialist,hired,True,False,True
172,Active,Plausible,The terrorist petrified the lady.,The terrorist petrified the first lady.,AAN,terrorist,lady,petrified,True,False,False
173,Active,Plausible,The hijacker terrified the president's.,The hijacker terrified the president's wife.,AAN,hijacker,president's,terrified,True,False,False
174,Active,Plausible,The judge praised the medalist.,The gold medalist was praised by the judge.,AAN,judge,medalist,praised,True,False,False
175,Active,Plausible,The panelist congratulated the winner.,The winner was congratulated by the panelist.,AAN,panelist,winner,congratulated,True,False,True
176,Active,Plausible,The liar emulated the victor.,The liar emulated the victor.,AAN,liar,victor,emulated,True,False,True
177,Active,Plausible,The deceiver imitated the conqueror.,The deceiver imitated the conqueror.,AAN,deceiver,conqueror,imitated,True,False,True
178,Active,Plausible,The environmentalist cautioned the tobacconist.,The tobacconist was cautioned by the environmentalist.,AAN,environmentalist,tobacconist,cautioned,True,False,True
179,Active,Plausible,The ecologist warned the cigar-maker.,The cigar-maker was warned by the ecologist.,AAN,ecologist,cigar-maker,warned,True,False,True
180,Active,Plausible,The peasant idolized the ancestors.,The peasant idolized his ancestors.,AAN,peasant,ancestors,idolized,True,False,False
181,Active,Plausible,The serf worshipped the forefathers.,The serf worshipped his forefathers.,AAN,serf,forefathers,worshipped,True,False,False
182,Active,Plausible,The alcoholic hassled the guest.,The guest was hassled by the alcoholic.,AAN,alcoholic,guest,hassled,True,False,True
183,Active,Plausible,The drunk bothered the visitor.,The visitor was bothered by the drunk.,AAN,drunk,visitor,bothered,True,False,True
184,Active,Plausible,The commentator vexed the athlete.,The commentator vexed the athlete.,AAR,commentator,athlete,vexed,True,False,True
185,Active,Plausible,The sportscaster peeved the jock.,The sportscaster peeved the jock.,AAR,sportscaster,jock,peeved,True,False,True
186,Active,Plausible,The preacher hugged the churchgoer.,The churchgoer was hugged by the preacher.,AAR,preacher,churchgoer,hugged,True,False,True
187,Active,Plausible,The pastor embraced the parishioner.,The parishioner was embraced by the pastor.,AAR,pastor,parishioner,embraced,True,False,True
188,Active,Plausible,The maniac mocked the clown.,The maniac mocked the clown.,AAR,maniac,clown,mocked,True,False,True
189,Active,Plausible,The lunatic ridiculed the jester.,The lunatic ridiculed the jester.,AAR,lunatic,jester,ridiculed,True,False,True
190,Active,Plausible,The archivist contacted the inventor.,The inventor was contacted by the archivist.,AAR,archivist,inventor,contacted,True,False,True
191,Active,Plausible,The historian approached the innovator.,The innovator was approached by the historian.,AAR,historian,innovator,approached,True,False,True
192,Active,Plausible,The janitor called the landscaper.,The janitor called the landscaper.,AAR,janitor,landscaper,called,True,False,True
193,Active,Plausible,The custodian phoned the gardener.,The custodian phoned the gardener.,AAR,custodian,gardener,phoned,True,False,True
194,Active,Plausible,The drummer annoyed the weatherman.,The weatherman was annoyed by the drummer.,AAR,drummer,weatherman,annoyed,True,False,True
195,Active,Plausible,The percussionist displeased the meteorologist.,The meteorologist was displeased by the percussionist.,AAR,percussionist,meteorologist,displeased,True,False,True
196,Active,Plausible,The go-between belittled the defendant.,The go-between belittled the defendant.,AAR,go-between,defendant,belittled,True,False,True
197,Active,Plausible,The intermediary deprecated the felon.,The intermediary deprecated the felon.,AAR,intermediary,felon,deprecated,True,False,True
198,Active,Plausible,The valet entertained the envoy.,The envoy was entertained by the valet.,AAR,valet,envoy,entertained,True,False,True
199,Active,Plausible,The manservant amused the emissary.,The emissary was amused by the manservant.,AAR,manservant,emissary,amused,True,False,True
200,Active,Plausible,The acrobat pushed the stranger.,The acrobat pushed the stranger.,AAR,acrobat,stranger,pushed,True,False,True
201,Active,Plausible,The gymnast shoved the outsider.,The gymnast shoved the outsider.,AAR,gymnast,outsider,shoved,True,False,True
202,Active,Plausible,The benefactor calmed the architect.,The architect was calmed by the benefactor.,AAR,benefactor,architect,calmed,True,False,True
203,Active,Plausible,The patron soothed the draftsman.,The draftsman was soothed by the patron.,AAR,patron,draftsman,soothed,True,False,True
204,Active,Plausible,The therapist lauded the hairdresser.,The therapist lauded the hairdresser.,AAR,therapist,hairdresser,lauded,True,False,True
205,Active,Plausible,The psychologist extolled the hairstylist.,The psychologist extolled the hairstylist.,AAR,psychologist,hairstylist,extolled,True,False,True
206,Active,Plausible,The nobleman married the baroness.,The baroness was married by the nobleman.,AAR,nobleman,baroness,married,True,False,True
207,Active,Plausible,The aristocrat wed the countess.,The countess was wed by the aristocrat.,AAR,aristocrat,countess,wed,True,False,True
208,Active,Plausible,The actuary assuaged the creditor.,The actuary assuaged the creditor.,AAR,actuary,creditor,assuaged,True,False,True
209,Active,Plausible,The analyst relieved the investor.,The analyst relieved the investor.,AAR,analyst,investor,relieved,True,False,True
210,Active,Plausible,The sailor frightened the psychic.,The psychic was frightened by the sailor.,AAR,sailor,psychic,frightened,True,False,True
211,Active,Plausible,The mariner scared the fortune-teller.,The fortune-teller was scared by the mariner.,AAR,mariner,fortune-teller,scared,True,False,True
212,Active,Plausible,The assistant flattered the auditor.,The assistant flattered the auditor.,AAR,assistant,auditor,flattered,True,False,True
213,Active,Plausible,The helper complimented the appraiser.,The helper complimented the appraiser.,AAR,helper,appraiser,complimented,True,False,True
214,Active,Plausible,The immigrant believed the trooper.,The trooper was believed by the immigrant.,AAR,immigrant,trooper,believed,True,False,True
215,Active,Plausible,The foreigner trusted the patrolman.,The patrolman was trusted by the foreigner.,AAR,foreigner,patrolman,trusted,True,False,True
216,Active,Plausible,The mapmaker affronted the farmer.,The mapmaker affronted the farmer.,AAR,mapmaker,farmer,affronted,True,False,True
217,Active,Plausible,The cartographer insulted the rancher.,The cartographer insulted the rancher.,AAR,cartographer,rancher,insulted,True,False,True
218,Active,Plausible,The poet awed the entertainer.,The entertainer was awed by the poet.,AAR,poet,entertainer,awed,True,False,True
219,Active,Plausible,The lyricist dazzled the performer.,The performer was dazzled by the lyricist.,AAR,lyricist,performer,dazzled,True,False,True
220,Active,Plausible,The peddler tested the manager.,The peddler tested the manager.,AAR,peddler,manager,tested,True,False,True
221,Active,Plausible,The salesman challenged the executive.,The traveling salesman challenged the executive.,AAR,salesman,executive,challenged,True,False,False
222,Active,Plausible,The musician admired the diva.,The diva was admired by the musician.,AAR,musician,diva,admired,True,False,True
223,Active,Plausible,The instrumentalist adored the prima_donna.,The prima donna was adored by the instrumentalist.,AAR,instrumentalist,prima_donna,adored,True,False,False
224,Active,Plausible,The general welcomed the hero.,The general welcomed the hero.,AAR,general,hero,welcomed,True,False,True
225,Active,Plausible,The commander greeted the champion.,The commander greeted the champion.,AAR,commander,champion,greeted,True,False,True
226,Active,Plausible,The cobbler disdained the stonecutter.,The stonecutter was disdained by the cobbler.,AAR,cobbler,stonecutter,disdained,True,False,True
227,Active,Plausible,The shoemaker scorned the mason.,The mason was scorned by the shoemaker.,AAR,shoemaker,mason,scorned,True,False,True
228,Active,Plausible,The postman noticed the chaplain.,The postman noticed the chaplain.,AAR,postman,chaplain,noticed,True,False,True
229,Active,Plausible,The mailman saw the minister.,The mailman saw the minister.,AAR,mailman,minister,saw,True,False,True
230,Active,Plausible,The composer begrudged the playwright.,The playwright was begrudged by the composer.,AAR,composer,playwright,begrudged,True,False,True
231,Active,Plausible,The songwriter envied the dramatist.,The dramatist was envied by the songwriter.,AAR,songwriter,dramatist,envied,True,False,True
232,Active,Plausible,The dictator angered the residents.,The dictator angered the residents.,AAR,dictator,residents,angered,True,False,True
233,Active,Plausible,The despot enraged the townspeople.,The despot enraged the townspeople.,AAR,despot,townspeople,enraged,True,False,True
234,Active,Plausible,The missionary baffled the oracle.,The oracle was baffled by the missionary.,AAR,missionary,oracle,baffled,True,False,True
235,Active,Plausible,The evangelist mystified the soothsayer.,The soothsayer was mystified by the evangelist.,AAR,evangelist,soothsayer,mystified,True,False,True
236,Active,Plausible,The trespasser choked the fighter.,The trespasser choked the fighter.,AAR,trespasser,fighter,choked,True,False,True
237,Active,Plausible,The encroacher strangled the warrior.,The encroacher strangled the warrior.,AAR,encroacher,warrior,strangled,True,False,True
238,Active,Plausible,The broker introduced the donor.,The donor was introduced by the broker.,AAR,broker,donor,introduced,True,False,True
239,Active,Plausible,The dealer presented the sponsor.,The sponsor was presented by the dealer.,AAR,dealer,sponsor,presented,True,False,True
